iter	RMSE
0	0.3845676497
1	0.3740798576
2	0.3650019283
3	0.3555278779
4	0.3464725934
5	0.3379474903
6	0.3296222197
7	0.3217002639
8	0.3139497802
9	0.3063142142
10	0.29955738
11	0.2920232316
12	0.2851475849
13	0.2788424462
14	0.2726020136
15	0.2668734557
16	0.2616343238
17	0.2561070925
18	0.2507544365
19	0.24524408
20	0.2404830193
21	0.2356782272
22	0.2312258767
23	0.2267228978
24	0.2226738936
25	0.21843217
26	0.2147500764
27	0.21107914
28	0.2075063662
29	0.2038767937
30	0.200875475
31	0.1975656395
32	0.1945799272
33	0.1917491893
34	0.1887809946
35	0.1861681684
36	0.1837906071
37	0.1812974048
38	0.1788855113
39	0.1764206678
40	0.1742542429
41	0.1719647941
42	0.1695841324
43	0.1674129008
44	0.1654835196
45	0.1633674591
46	0.1617831431
47	0.1600543254
48	0.1582505913
49	0.1563735218
50	0.154882974
51	0.153233876
52	0.1515850464
53	0.1502963892
54	0.1491236607
55	0.1478594251
56	0.1465389674
57	0.1452976242
58	0.1441622713
59	0.1429100823
60	0.1419147521
61	0.1407956965
62	0.1397582678
63	0.1387053834
64	0.1375344126
65	0.1363962504
66	0.1354756613
67	0.1346038209
68	0.1337219465
69	0.1327805504
70	0.1317381858
71	0.1308804973
72	0.1300659686
73	0.1292091381
74	0.1284967282
75	0.1277745123
76	0.1271670947
77	0.1263049392
78	0.1254302963
79	0.1249218304
80	0.1242985201
81	0.1235789386
82	0.1229236275
83	0.12223288
84	0.1216277649
85	0.1210223733
86	0.1204238459
87	0.1197171421
88	0.1191796628
89	0.118541625
90	0.1178952967
91	0.1173078021
92	0.116832436
93	0.1162989804
94	0.115837364
95	0.1154121594
96	0.1150014594
97	0.1145170051
98	0.1141270267
99	0.1137083038
100	0.1132319173
101	0.1126678083
102	0.1122512682
103	0.1118105883
104	0.1113898918
105	0.1109554156
106	0.1105793827
107	0.1103172736
108	0.1099977349
109	0.1096314095
110	0.1091292008
111	0.1086604783
112	0.108267814
113	0.1078144369
114	0.1074462586
115	0.1069686154
116	0.1066275051
117	0.1062973626
118	0.1059049363
119	0.1055534936
120	0.105234191
121	0.1049096185
122	0.1045246392
123	0.1041337586
124	0.1038130363
125	0.103533852
126	0.1032341972
127	0.1029272812
128	0.1026359078
129	0.1023184691
130	0.1021199943
131	0.1018311583
132	0.101418448
133	0.1011212214
134	0.1007921614
135	0.1005430888
136	0.1002665168
137	0.1000649996
138	0.0998097312
139	0.09938295131
140	0.09907189879
141	0.09873994837
142	0.09851003159
143	0.0982430704
144	0.09810123996
145	0.09785343422
146	0.09760416473
147	0.09743991015
148	0.09713238858
149	0.09694542563
150	0.09673135055
151	0.09653376829
152	0.09627039028
153	0.09598512156
154	0.09579748758
155	0.0955355446
156	0.09531009109
157	0.09507903135
158	0.09480662103
159	0.09460451534
160	0.09439187047
161	0.09420375759
162	0.09398018601
163	0.09378013626
164	0.09354373865
165	0.09342519437
166	0.09317168591
167	0.09290272793
168	0.09273464325
169	0.09250210743
170	0.09226743679
171	0.09216340571
172	0.09206207539
173	0.09189918232
174	0.09171641026
175	0.09155171626
176	0.09138405174
177	0.09125004
178	0.09107633597
179	0.09096483474
180	0.09082934785
181	0.09057134645
182	0.09037887123
183	0.09014655449
184	0.08995728932
185	0.08982958092
186	0.08968616717
187	0.08951189685
188	0.08934581221
189	0.08919083402
190	0.08899087064
191	0.08878607794
192	0.08861694292
193	0.08844719384
194	0.08822675081
195	0.08805714089
196	0.08786419842
197	0.08766234019
198	0.08753927948
199	0.08729915082
200	0.08719125724
201	0.08707515516
202	0.08697624911
203	0.08678015078
204	0.08668224511
205	0.08644334954
206	0.08629214728
207	0.08620034749
208	0.08595863602
209	0.08574172431
210	0.08554365474
211	0.08543323336
212	0.08519293611
213	0.08508379319
214	0.08494401743
215	0.08473398507
216	0.08447033983
217	0.08432077933
218	0.08424219554
219	0.08398118599
220	0.08385018845
221	0.08371754271
222	0.08363405444
223	0.08357025752
224	0.08340438239
225	0.0832867341
226	0.0831988647
227	0.08296655608
228	0.08283020528
229	0.08267220426
230	0.08250259294
231	0.08228067951
232	0.08222236903
233	0.08211426578
234	0.08205631129
235	0.08193817612
236	0.08172358697
237	0.08155124367
238	0.08147218598
239	0.08138778476
240	0.0813053713
241	0.08125703803
242	0.08119313283
243	0.08111529517
244	0.08103339857
245	0.08092265555
246	0.08071087369
247	0.08062800253
